I look,"ดู<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>looked</td>
<td>look</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>looked</td>
<td>looks</td>
<td>
</td>
<td>looked</td>
<td>looking</td>
</tr>
<tr>
<td>you/we/they</td>
<td>looked</td>
<td>look</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.1 Top0100",(reg. v) no.1 Top0100
I use,"การใช้งาน<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>useed</td>
<td>use</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>useed</td>
<td>uses</td>
<td>
</td>
<td>useed</td>
<td>useing</td>
</tr>
<tr>
<td>you/we/they</td>
<td>useed</td>
<td>use</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.2 Top0100",(reg. v) no.2 Top0100
I want,"ต้องการ<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>wanted</td>
<td>want</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>wanted</td>
<td>wants</td>
<td>
</td>
<td>wanted</td>
<td>wanting</td>
</tr>
<tr>
<td>you/we/they</td>
<td>wanted</td>
<td>want</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.3 Top0100",(reg. v) no.3 Top0100
I work,"การทำงาน<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>worked</td>
<td>work</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>worked</td>
<td>works</td>
<td>
</td>
<td>worked</td>
<td>working</td>
</tr>
<tr>
<td>you/we/they</td>
<td>worked</td>
<td>work</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.4 Top0100",(reg. v) no.4 Top0100
I need,"ต้อง<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>needed</td>
<td>need</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>needed</td>
<td>needs</td>
<td>
</td>
<td>needed</td>
<td>needing</td>
</tr>
<tr>
<td>you/we/they</td>
<td>needed</td>
<td>need</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.5 Top0100",(reg. v) no.5 Top0100
I seem,"ดูเหมือน<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>seemed</td>
<td>seem</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>seemed</td>
<td>seems</td>
<td>
</td>
<td>seemed</td>
<td>seeming</td>
</tr>
<tr>
<td>you/we/they</td>
<td>seemed</td>
<td>seem</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.6 Top0100",(reg. v) no.6 Top0100
I ask,"ขอให้<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>asked</td>
<td>ask</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>asked</td>
<td>asks</td>
<td>
</td>
<td>asked</td>
<td>asking</td>
</tr>
<tr>
<td>you/we/they</td>
<td>asked</td>
<td>ask</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.7 Top0100",(reg. v) no.7 Top0100
I try,"พยายาม<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>tryed</td>
<td>try</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>tryed</td>
<td>trys</td>
<td>
</td>
<td>tryed</td>
<td>trying</td>
</tr>
<tr>
<td>you/we/they</td>
<td>tryed</td>
<td>try</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.8 Top0100",(reg. v) no.8 Top0100
I call,"โทร<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>called</td>
<td>call</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>called</td>
<td>calls</td>
<td>
</td>
<td>called</td>
<td>calling</td>
</tr>
<tr>
<td>you/we/they</td>
<td>called</td>
<td>call</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.9 Top0100",(reg. v) no.9 Top0100
I provide,"ให้<br><br><table style=""text-align: left"">
<tr>
<th></th>
<th>past</th>
<th>present</th>
<th></th>
<th>perfect</th>
<th>continuous</th>
</tr>
<tr>
<td>I</td>
<td>provideed</td>
<td>provide</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
<tr>
<td>he/she/it</td>
<td>provideed</td>
<td>provides</td>
<td>
</td>
<td>provideed</td>
<td>provideing</td>
</tr>
<tr>
<td>you/we/they</td>
<td>provideed</td>
<td>provide</td>
<td>
</td>
<td>
</td>
<td>
</td>
</tr>
</table><br><br>(reg. v) no.10 Top0100",(reg. v) no.10 Top0100
