el año,year,(nm) no.55 Top0500,1
el tiempo,"time (general), weather",(nm) no.68 Top0500,2
el día,day,(nm) no.71 Top0500,3
el hombre,"man, mankind, husband",(nm) no.80 Top0500,4
el momento,moment,(nm) no.108 Top0500 ,5
el mundo,world,(nm) no.118 Top0500,6
el caso,"case (situation), occasion",(nm) no.130 Top0500,7
el país,country,(nm) no.133 Top0500,8
el lugar,position (location),(nm) no.135 Top0500,9
el trabajo,"job, effort",(nm) no.145 Top0500,10
el punto,"point, dot, period",(nm) no.147 Top0500,11
el fin,end,(nm) no.156 Top0500,12
el tipo,"kind, type",(nm) no.157 Top0500 ,13
el ejemplo,example,(nm) no.162 Top0500,14
el lado,side,(nm) no.165 Top0500,15
el hijo,"son, [pl] children",(nm) no.166 Top0500,16
el problema,problem,(nm) no.169 Top0500,17
el medio,middle,(nm) no.171 Top0500,18
el niño,"child, little boy",(nm) no.178 Top0500,19
el padre,father,(nm) no.182 Top0500,20
el cambio,change,(nm) no.186 Top0500,21
el modo,manner,(nm) no.198 Top0500,22
el nombre,name,(nm) no.199 Top0500,23
el mes,month,(nm) no.210 Top0500,24
el grupo,group,(nm) no.216 Top0500,25
el cuerpo,body,(nm) no.232 Top0500,26
el hecho,"the fact, a happening/event",(nm) no.235 Top0500,27
el principio,principle,(nm) no.237 Top0500,28
el señor,"sir, Mr., lord",(nm) no.240 Top0500,29
el pueblo,"people, village",(nm) no.241 Top0500,30
el ojo,eye,(nm) no.247 Top0500,31
el libro,book,(nm) no.253 Top0500,32
el santo,saint,(nm) no.258 Top0500,33
el frente,facing; across from,(nmf) no.260 Top0500,34
el amigo,friend,(nm) no.262 Top0500,35
el sentido,"sense, feeling",(nm) no.265 Top0500,36
el paso,"step, pace",(nm) no.267 Top0500,37
el siglo,"century, age",(nm) no.273 Top0500,38
el dios,"god, divinity",(nm) no.274 Top0500,39
el papel,"paper, role/part",(nm) no.277 Top0500,40
el tema,"theme, subject, topic",(nm) no.283 Top0500,41
el dinero,money,(nm) no.291 Top0500,42
el campo,"field, countryside",(nm) no.295 Top0500,43
el orden,"sequence, order",(nmf) no.302 Top0500,44
el don,"courtesy title (m), Mr., gift",(nm) no.303 Top0500,45
el final,finally,(nmf) no.307 Top0500,46
el interés,interest,(nm) no.308 Top0500,47
el acuerdo,agreement,(nm) no.313 Top0500,48
el número,number,(nm) no.315 Top0500,49
el fondo,"bottom, end",(nm) no.318 Top0500,50
el camino,"road, route, path",(nm) no.319 Top0500,51
el estudio,"study, learning",(nm) no.321 Top0500,52
el valor,"value, worth",(nm) no.326 Top0500,53
el centro,"center, middle, downtown",(nm) no.339 Top0500,54
el estado,"state, condition, status",(nm) no.351 Top0500 nb,55
el ser,being,(nm) no.352 Top0500,56
el color,color,(nm) no.359 Top0500,57
el movimiento,movement,(nm) no.362 Top0500,58
el pesar,sorrow,(nm) no.366 Top0500,59
el juego,"game, sport",(nm) no.371 Top0500,60
el aire,"appearance, wind",(nm) no.374 Top0500,61
el resultado,"result, outcome",(nm) no.379 Top0500,62
el aspecto,"appearance, aspect",(nm) no.385 Top0500,63
el pie,"foot, base",(nm) no.386 Top0500,64
el servicio,"service, helpfulness",(nm) no.390 Top0500,65
el peso,"weight, load",(nm) no.417 Top0500,66
el efecto,effect,(nm) no.418 Top0500,67
el objeto,"object, thing",(nm) no.419 Top0500 nb,68
el amor,love,(nm) no.423 Top0500,69
el partido,"group/party, sports match",(nm) no.425 Top0500,70
el derecho,"right, justice, law",(nm) no.427 Top0500,71
el poder,power,(nm) no.428 Top0500,72
el sistema,system,(nm) no.430 Top0500,73
el viaje,voyage,(nm) no.431 Top0500,74
el suelo,"ground, floor",(nm) no.432 Top0500,75
el respecto,respect,(nm) no.433 Top0500,76
el conocimiento,knowledge,(nm) no.434 Top0500,77
el esfuerzo,"effort, endeavor",(nm) no.444 Top0500,78
el resto,"remainder, leftover, rest",(nm) no.447 Top0500,79
el ladrón,thief,(nm) no.449 Top0500,80
el miedo,fear,(nm) no.450 Top0500,81
el temor,fear,(nm) no.450 Top0500,82
el proceso,"process, procedure",(nm) no.452 Top0500,83
el minuto,minute,(nm) no.459 Top0500,84
